,Address,latitude,longitude
0,"23 Lutego, 61-001 Poznań, Poland",52.41021989999999,16.9287753
1,"27 Grudnia, 61-001 Poznań, Poland",52.4081227,16.9234747
2,"28 Czerwca 1956 r., 61-001 Poznań, Poland",52.3775068,16.9074896
3,"3 Maja, 61-001 Poznań, Poland",52.4087299,16.9250622
4,"5 Stycznia, 60-408 Poznań, Poland",52.422873,16.8530078
5,"Abrahama, 61-615 Poznań, Poland",52.4439253,16.9397144
6,"Adama Grześkiewicza, 61-414 Poznań, Poland",52.3651314,16.8869318
7,"Adama Logi, 61-001 Poznań, Poland",52.3843435,16.8797001
8,"Adama Skałkowskiego, 61-606 Poznań, Poland",52.4649789,16.9391137
9,"Admiralska, 60-480 Poznań, Poland",52.4769425,16.7726616
10,"Adolfa Bnińskiego, 61-001 Poznań, Poland",52.4396704,16.958685
11,"Agatowa, 61-601 Poznań, Poland",52.4738374,16.9483676
12,"Agrestowa, 61-001 Poznań, Poland",52.3702395,17.0020418
13,"Ajschylosa, 60-461 Poznań, Poland",52.4453496,16.8783745
14,"Akacjowa, 61-001 Poznań, Poland",52.3684009,16.8970182
15,"Albańska, 61-001 Poznań, Poland",52.38426370000001,16.8791199
16,"aleja Armii Poznań, 61-001 Poznań, Poland",52.4188875,16.9290946
17,"aleja Braterstwa Broni, 61-001 Poznań, Poland",52.41995679999999,16.9338017
18,"aleja Pod Lipami, 61-636 Poznań, Poland",52.43111769999999,16.9414611
19,"aleja Republik, 61-001 Poznań, Poland",52.4200822,16.9371699
20,"aleja Wielkopolska, Poznań, Poland",52.4186625,16.9136378
21,"Aleje Solidarności, 61-001 Poznań, Poland",52.4358979,16.9199297
22,"Aleksandra Gabszewicza, Poznań, Poland",52.3123106,16.9678252
23,"Aleksandry Karpińskiej, 60-462 Poznań, Poland",52.4599351,16.8787688
24,"Alojzego Nowaka, 61-001 Poznań, Poland",52.3579842,16.8923888
25,"Altanowa, 62-090 Poznań, Poland",52.4814169,16.7771411
26,"Altera, 61-615 Poznań, Poland",52.4460077,16.9373689
27,"Alzacka, 61-615 Poznań, Poland",52.4472749,16.9334239
28,"Ametystowa, 61-680 Poznań, Poland",52.47181399999999,16.9565924
29,"Ananasowa, 61-601 Poznań, Poland",52.4649324,16.9498519
30,"Andaluzyjska, 61-615 Poznań, Poland",52.4464021,16.930761
31,"Andersena, 60-189 Poznań, Poland",52.41114109999999,16.8382202
32,"Andrychowska, Poznań, Poland",52.3415585,16.9234573
33,"Andrzejewskiego, 61-001 Poznań, Poland",52.38174910000001,16.8854192
34,"Anny Danysz, 60-462 Poznań, Poland",52.4609701,16.876717
35,"Antoniego Gołubiewa, 60-461 Poznań, Poland",52.4532677,16.8613584
36,"Anyżowa, 61-614 Poznań, Poland",52.4720809,16.9358819
37,"Aragońska, 61-001 Poznań, Poland",52.4455806,16.9290947
38,"Architektów, 60-446 Poznań, Poland",52.4294573,16.8212956
39,"Arciszewskiego, 61-001 Poznań, Poland",52.38990399999999,16.8830951
40,"Arcta, 61-001 Poznań, Poland",52.4174301,16.8657279
41,"Arkońska, 61-058 Poznań, Poland",52.4140401,17.0474429
42,"Armeńska, 61-001 Poznań, Poland",52.4384762,16.9345025
43,"Aroniowa, 61-306 Poznań, Poland",52.3606169,17.0353185
44,"Artura Marii Swinarskiego, 60-194 Poznań, Poland",52.4077822,16.851035
45,"Artura Oppmana, 60-194 Poznań, Poland",52.4091302,16.8432591
46,"Arystofanesa, 60-461 Poznań, Poland",52.44593440000001,16.8763965
47,"Astrowa, 60-175 Poznań, Poland",52.3843139,16.8207473
48,"Augustowska, 61-048 Poznań, Poland",52.407705,16.987883
49,"Azaliowa, 61-001 Poznań, Poland",52.3639781,16.9059126
50,"Babicka, Poznań, Poland",52.31767170000001,16.9444005
51,"Babimojska, Poznań, Poland",52.3910958,16.859864
52,"Bajana, 61-001 Poznań, Poland",52.4180244,16.8607947
53,"Bąka, 60-194 Poznań, Poland",52.4067444,16.8518959
54,"Balonowa, 60-408 Poznań, Poland",52.4233009,16.8532557
55,"Baltazara Lewandowskiego, 61-680 Poznań, Poland",52.4833814,16.9231391
56,"Bałtycka, 61-013 Poznań, Poland",52.42671970000001,16.9742315
57,"Barana, 61-244 Poznań, Poland",52.3917918,16.9911359
58,"Baraniaka, 61-001 Poznań, Poland",52.4001867,16.9688907
59,"Baranowska, Poznań, Poland",52.3574077,16.9445722
60,"Barcińska, 61-046 Poznań, Poland",52.4143036,16.982173
61,"Barczewska, 60-461 Poznań, Poland",52.4568259,16.8511658
62,"Barlinecka, 60-189 Poznań, Poland",52.411198,16.8237893
63,"Barska, 61-001 Poznań, Poland",52.3815722,16.9138679
64,"Bartnicza, 61-001 Poznań, Poland",52.4238077,16.9787863
65,"Bartoszycka, 60-434 Poznań, Poland",52.4411493,16.8346499
66,"Barwicka, 60-189 Poznań, Poland",52.40995170000001,16.8306873
67,"Barzyńskiego, Poznań, Poland",52.4146589,16.9129229
68,"Baśniowa, 60-189 Poznań, Poland",52.4108537,16.8411933
